# PA-39 machine hash-transcript
# generated: 2026-08-23, algo: sha256
# command-equivalent: shasum -a 256 <each file> vs docs/audits/pa-39-import-allowlist.yaml
# entries checked: 27 (18 W1 + 8 W2 + 1 adaptation_base = 27 expected)
PASS src/proxima/__init__.py sha256=eb211879595be17c156a905ad743d75a2647393a9d5a72837ef55f89769ce639 size=700
PASS src/proxima/ai/__init__.py sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 size=0
PASS src/proxima/application/__init__.py sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 size=0
PASS src/proxima/application/scenario_engine.py sha256=1374866789725349a0251ed0b3ec055a886e423c5d928afccb2d216ed8a0be8b size=25661
PASS src/proxima/ai/contracts.py sha256=db002cf349b06b6e658becaf612332d0831dfcd3eadcaadda1417d8c03ee74f8 size=19685
PASS src/proxima/evals/gate_validator.py sha256=a558ebf1ff7cd74acf043da86f069c6fb0cf17cc26346a805890cf9207270c9d size=24479
PASS src/proxima/evals/reference_replay.py sha256=860dec4ebca43958abdac1a4e05afd56533f8f04d1da7d7510273e80d0657767 size=17617
PASS src/proxima/evals/shadow_comparison.py sha256=c6bb706ba531ccfd5d51b69a8f81c05f378490ea3e807b3fe1f3dd3e04aa792f size=16389
PASS tests/unit/application/test_scenario_engine.py sha256=ae754c72ab1841331506a2020fa34d2964162564c6f2491f5f46ec24ad1c7658 size=17222
PASS tests/unit/ai/test_contracts.py sha256=4d6aadf1406bdbc297fb84f42a023a38918a7b46bbf5f6bbb9b5b3320a2dafa4 size=9619
PASS tests/evals/contracts/test_critical_failures.py sha256=b6d09e956a1f6828bff36a9c941134d73e28e0f8d894f4c3d6fa5b9e9f1af9ac size=12151
PASS tests/evals/reference/test_reference_replay.py sha256=d2d13ea4f10f02d995ee514012a57b202f93882187be8aeb5a660206380621e7 size=10618
PASS tests/evals/test_shadow_comparison.py sha256=be51abf8c91600e054854945430a2c3786d2380e40e068c4525067197f60d329 size=4454
PASS tests/fixtures/scenario_engine/scn_008_partial.json sha256=cfe9a99bbd01aee0f8df7a1978d83affdaba65dd52a679b19ee041ec2e89f9bf size=3859
PASS evals/evidence/e0-e3.json sha256=aa7c6bfd3a41a9e099b1fd861928729fff580696664edcdf31740b5b600d12c4 size=12225
PASS evals/evidence/e0-e3.schema.json sha256=6a0c6eb1bbe2fdd48446cdec5fb734ddc062f573f31cc3531b821063a6225c02 size=10225
PASS evals/reference/schema.json sha256=07a118859ce70a24a8b2f954e26ce7da9562fc8455ac71c73820e0fd6ee6be29 size=10532
PASS evals/reference/cases.jsonl sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 size=0
PASS src/proxima/application/scenario_orchestrator.py sha256=01fc999d37a9123b8515162b7ec6668c94d1c3758b7c776d56a2f93b1943798c size=33878
PASS src/proxima/ai/model_adapter.py sha256=8a4755d4ddffb9237677c953b42130f6fcc39616dad4947d65673cf5c95aaed7 size=14201
PASS src/proxima/ai/model_port.py sha256=c9ef21da5d2eab87ab70141b3b84ad8f35b3bb17946947afd9513eacf3775e2a size=4494
PASS src/proxima/ai/prompts.py sha256=73a707f5a51acc21122f80404d624ea05e8a34555b6fbccb1785ee296f5dfbb5 size=11316
PASS src/proxima/ai/independent_reviewer.py sha256=d652efa6e27aed9e5a203d5c2b1ec5c99e01a22202120c9ee50044e1d6514dcc size=6429
PASS src/proxima/ai/recommendation_validator.py sha256=80c231e2c28082bbd5955dade7f4d98dfeab082d1c3ad1677e33aec826610d0f size=10161
PASS tests/unit/ai/test_review_boundary.py sha256=6d5656cf460acc50b7f15749e1cc46d238db18b0bdf96f763f2e338db09dfa37 size=18521
PASS tests/integration/model_contract/test_model_adapter.py sha256=be755e5e1e55c0c39480e8830bf3b23f939fc3e7877470c0b641b34c502d880c size=10370
PASS src/proxima/settings.py sha256=b439b66bc2190d71b8bfe288adb6d140a22a8b130968b5bd51f608924313c3b4 size=4203
# RESULT: ALL PASS
